id,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
dataset-full/test/sci.electronics/16235,5.144612176014951e-08,0.005513138923261892,1.8265553909801072e-05,0.06551811002247648,0.4995897727504479,2.2730861779278514e-05,0.00010012912197438811,7.949133695724565e-07,1.1501836391355145e-06,1.314952304395671e-08,6.6168790291692936e-09,1.4029856421843062e-07,0.4292258321299565,4.053772802471133e-08,8.332762869435034e-06,1.326821650677468e-08,1.0326573598646789e-06,2.7183765852963003e-08,3.836279027485418e-07,3.399025568479498e-08
dataset-full/test/sci.electronics/16237,5.7138584732684846e-05,0.3906090764479677,0.014827881500556169,0.13338229884349165,0.04852402112254633,0.16465654472058458,0.02187838488625285,9.049999604003837e-05,0.0007019526583191525,1.2088448767389765e-05,5.966326748271416e-06,0.018198921073231383,0.0614363082104282,0.00023598780819454777,0.14483815145830303,4.349446360502015e-05,0.00017464343173305367,1.245065343847558e-06,0.00031843408795541637,6.960865187378625e-06
dataset-full/test/sci.electronics/16347,1.6179221866151134e-09,2.0335415403008382e-07,1.7300706921132963e-07,3.8866424588743317e-07,6.1484249572684875e-06,3.6935501313331995e-07,7.385885939665104e-09,1.951847841585605e-06,7.698553099518505e-08,2.258634543492377e-10,1.5115793875670696e-11,4.602495729059861e-08,0.9999895212221679,1.1512307617562249e-07,9.374957501265278e-07,1.2570900432792939e-09,4.0672462537214504e-08,2.2740553068215187e-11,1.6720772261212796e-08,5.77378922551566e-10
dataset-full/test/talk.religion.misc/18656,0.0013608823544017786,7.369706230971265e-16,5.037534946559551e-16,6.331952911779918e-16,6.396022003578214e-17,5.965730920413488e-16,2.2161100892664392e-17,9.23827426144991e-16,2.4509664737364227e-16,3.177068467177227e-16,1.9223446516075513e-15,1.4273389804195024e-14,1.9685992776523567e-16,5.958713355451037e-15,1.7040596627760115e-13,2.434201590560108e-06,3.4239537616629865e-14,5.05888628458831e-13,5.570493434844131e-13,0.9986366834427233
dataset-full/test/sci.crypt/15592,1.3381165582629282e-08,9.668074775584264e-08,7.76876255034107e-06,1.994029034791607e-09,4.293644369495217e-09,2.2439104027865805e-09,2.0210558125911512e-10,0.0007063752257529843,6.053047928569619e-05,1.4983393006425426e-11,1.1209659933188955e-10,0.04770374034465644,8.884791303034586e-09,2.227514911973237e-06,1.3651178239971378e-05,4.852797250698401e-10,0.9203570410396528,6.068173922947852e-05,0.03108785356697251,1.8559940317125847e-09
dataset-full/test/sci.electronics/16027,4.799971460135834e-07,2.257035653345667e-05,0.0003347709945011929,0.0020032609193221594,0.021426440782101694,3.6203484672982293e-06,0.0004752863492739415,9.09355640403737e-05,2.4259042634059937e-07,5.420471405280747e-08,4.5697971543385715e-08,0.003997830104486283,0.9714174814408661,4.198849382204601e-05,0.00012260146465445298,5.478693902525415e-06,1.3628465134447882e-05,5.533014046152051e-07,1.5399132316714683e-05,2.733109891655178e-05
dataset-full/test/comp.windows.x/13395,2.3932423162601383e-10,8.373055706107316e-05,2.5240288698449864e-06,1.0933463857813198e-07,4.328820770580325e-09,0.9999135709317647,2.209896774032332e-11,2.2573709747529137e-10,2.825188809735016e-10,8.263321957866936e-12,1.969861104091599e-11,2.381216622108198e-08,2.6514188523894277e-08,4.251848467969938e-09,1.4478831143394463e-09,3.018718905007322e-09,2.1896965961918828e-10,1.0648383637126838e-11,2.028232063634302e-10,5.439491296138697e-10
dataset-full/test/comp.graphics/11735,7.252360160982652e-16,0.9999999998443911,4.578408356360833e-12,1.871554489908851e-11,5.1296671971571726e-11,7.149340657703394e-11,7.923230302446029e-12,2.7173181455582326e-14,1.6906206082565234e-13,8.330651800797126e-16,4.196896867210204e-15,2.2673095513742535e-14,1.0969648224992066e-12,1.7790351256085807e-13,8.17037592649132e-14,2.1780046692476896e-15,8.752236134122767e-15,3.359066744099198e-16,2.1992582149097094e-15,7.819201450481154e-16
dataset-full/test/talk.politics.misc/18402,9.536656448187918e-12,5.068288223416199e-18,1.788633263145115e-20,5.1985099923817417e-20,2.4360545713524242e-20,1.3648757239902946e-19,2.243472079595951e-21,4.47707222298097e-18,2.2460199852457134e-19,2.9206426218825935e-19,1.7827141262462451e-19,1.0849884149978331e-12,4.503112273311263e-19,5.058990877303781e-16,1.9329216143051685e-15,1.2072854757105385e-12,5.454698019367761e-08,1.1719021414201678e-13,0.9999999454406364,4.3728136462011375e-13
dataset-full/test/talk.politics.guns/17842,5.324443206986666e-07,5.226307250939389e-09,2.5847688123971167e-08,1.1333804012535119e-06,4.5553916658834335e-08,3.859281759409346e-09,1.8810315021766257e-08,7.076638682028974e-06,6.214046415927704e-07,5.5330096358408886e-08,7.826329381000596e-06,7.640461624958306e-05,1.0709973616779792e-07,1.5350093140922245e-05,5.3385006441497275e-06,3.0820891578921883e-07,0.9988571814152932,4.107178252269801e-08,0.0010217696497375462,6.154519461117485e-06
